COMBUSTÍVEL;ANO;REGIÃO;ESTADO;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;TOTAL
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO CENTRO-OESTE;GOIÁS;149833,82;2611067,892;213563,84;224269,942;235808,38;230385,889;236885,515;237234,696;233672,002;219499,031;206983,637;227822,31;195108,83
ÓLEO DIESEL S-1800 (m3);2013;REGIÃO CENTRO-OESTE;DISTRITO FEDERAL;29075,876;25899,502;362968,543;28358,4;27264,8;30302,2;31789,8;32129,543;29481,151;31840,307;33212,364;30700,3;32914,3
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;RONDÔNIA;2027,049;1440,115;1234,4;18708,548;2008,139;1294,389;994,644;1396,849;1607,085;1723,07;1443,963;1744,724;1794,121
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;ACRE;25;109;40;119,73;801,73;32;75;120;155;60;30;25;11
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;AMAZONAS;8964,348;9607,29;9777,444;9709,044;8990,438;114417,675;9296,655;9958,27;10495,657;9447,882;8589,529;8971,578;10609,54
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;RORAIMA;70;0;0;0;20;0;90;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;PARÁ;7856;10082,7;8960,59;7546,4;8032,5;7771;6634,7;106389,058;9490,658;10069,2;10130,3;9856,9;9958,11
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;AMAPÁ;100;8;40;0;0;60;0;10;608;10;50;325;5
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORTE;TOCANTINS;0;0;0;0;0;0;0;0;0;0;0;0;0
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;MARANHÃO;797;575;805;492;1072;717;648;1027;768;1018;9421;777;725
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;PIAUÍ;130;165;125;275;155;240;180;135;210;135;145;2000;105
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;CEARÁ;400;275,331;360;480;720;765;488,574;663;491,872;960;540;605;6748,777
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;RIO GRANDE DO NORTE;9349;605;1136;1035;575;826;905;819;640;655;815;781;557
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;PARAÍBA;141;256;10;20;0;15;25;0;15;0;25;0;5
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;PERNAMBUCO;1068;622,5;7184,5;290;553;643;551;378;361,5;795,5;700;473;749
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;ALAGOAS;83;138,5;0;564,5;50;0;20;0;20;25;50;108;70
ÓLEO DIESEL MARÍTIMO (m3);2013;REGIÃO NORDESTE;SERGIPE;284;248;244;177;2622;239;221;238;155;210;180;215;211
